Date,Open,High,Low,Close,Volume
2020-09-23 00:00:00+00:00,3.93,4.4124,3.8728,4.1785,4996978.0
2020-09-23 12:00:00+00:00,4.1807,4.6092,3.3778,3.5136,9292288.0
2020-09-24 00:00:00+00:00,3.5123,4.435,3.4171,4.2978,6367914.0
2020-09-24 12:00:00+00:00,4.2956,4.86,3.8151,4.6133,6600908.0
2020-09-25 00:00:00+00:00,4.6129,4.8198,4.189,4.3724,6171515.0
2020-09-25 12:00:00+00:00,4.3728,5.0295,4.3102,4.6867,5773730.0
2020-09-26 00:00:00+00:00,4.6892,4.8025,4.4605,4.5641,3194387.0
2020-09-26 12:00:00+00:00,4.5582,4.74,4.3459,4.5203,3718199.0
2020-09-27 00:00:00+00:00,4.5244,4.7,4.2333,4.2633,3048630.0
2020-09-27 12:00:00+00:00,4.2633,4.7,4.0976,4.6391,2918824.0
2020-09-28 00:00:00+00:00,4.6383,4.687,4.192,4.3402,2768848.0
2020-09-28 12:00:00+00:00,4.3416,4.4405,4.15,4.1955,2753845.0
2020-09-29 00:00:00+00:00,4.195,4.2786,4.0881,4.2505,2276636.0
2020-09-29 12:00:00+00:00,4.2499,4.251,3.95,4.1314,2877145.0
2020-09-30 00:00:00+00:00,4.1334,4.193,3.99,4.0537,2502000.0
2020-09-30 12:00:00+00:00,4.0543,4.3976,4.0229,4.321,3136476.0
2020-10-01 00:00:00+00:00,4.3246,4.5269,4.0843,4.3903,3105755.0
2020-10-01 12:00:00+00:00,4.3934,4.405,4.0,4.1477,3228120.0
2020-10-02 00:00:00+00:00,4.1471,4.2137,3.6414,3.7592,3649846.0
2020-10-02 12:00:00+00:00,3.7592,4.0046,3.7063,3.8972,5204932.0
2020-10-03 00:00:00+00:00,3.8952,4.0883,3.8554,4.0314,2839704.0
2020-10-03 12:00:00+00:00,4.0316,4.1864,3.9671,4.0169,2436091.0
2020-10-04 00:00:00+00:00,4.0102,4.0691,3.8143,3.8708,2826532.0
2020-10-04 12:00:00+00:00,3.8664,4.0433,3.8222,3.9608,2454438.0
2020-10-05 00:00:00+00:00,3.956,4.0323,3.8675,3.8975,2212654.0
2020-10-05 12:00:00+00:00,3.8977,4.0456,3.872,3.976,2468911.0
2020-10-06 00:00:00+00:00,3.978,3.9928,3.48,3.5907,3135962.0
2020-10-06 12:00:00+00:00,3.5891,3.7655,3.5,3.5338,3025708.0
2020-10-07 00:00:00+00:00,3.536,3.5397,3.1893,3.2428,3551521.0
2020-10-07 12:00:00+00:00,3.2428,3.4517,3.2207,3.4413,3108860.0
2020-10-08 00:00:00+00:00,3.4445,3.499,3.3088,3.4322,3077169.0
2020-10-08 12:00:00+00:00,3.4306,3.9534,3.409,3.9034,4006171.0
2020-10-09 00:00:00+00:00,3.9024,4.2176,3.7964,4.1528,2947606.0
2020-10-09 12:00:00+00:00,4.1535,4.3209,4.0743,4.2356,2617996.0
2020-10-10 00:00:00+00:00,4.2327,4.2689,4.0003,4.1107,2573923.0
2020-10-10 12:00:00+00:00,4.11,4.2327,3.9765,4.0142,2420773.0
2020-10-11 00:00:00+00:00,4.0143,4.1896,3.9279,4.0729,2405297.0
2020-10-11 12:00:00+00:00,4.0728,4.1521,3.9986,4.0924,2379226.0
2020-10-12 00:00:00+00:00,4.0917,4.396,4.0503,4.1918,2553534.0
2020-10-12 12:00:00+00:00,4.1899,4.6939,4.1874,4.4123,3579674.0
2020-10-13 00:00:00+00:00,4.4137,4.5481,4.38,4.4915,2293615.0
2020-10-13 12:00:00+00:00,4.4914,4.529,4.3252,4.4774,1976737.0
2020-10-14 00:00:00+00:00,4.4785,4.4879,4.1024,4.1401,2106085.0
2020-10-14 12:00:00+00:00,4.1396,4.33,4.0105,4.1513,2476950.0
2020-10-15 00:00:00+00:00,4.1517,4.1695,4.0013,4.0517,1769287.0
2020-10-15 12:00:00+00:00,4.0516,4.2283,3.9922,4.1266,1902567.0
2020-10-16 00:00:00+00:00,4.1262,4.1291,3.8578,3.9275,2279065.0
2020-10-16 12:00:00+00:00,3.9275,4.1368,3.9138,4.0281,2254948.0
2020-10-17 00:00:00+00:00,4.0324,4.18,3.9559,4.1236,1860389.0
2020-10-17 12:00:00+00:00,4.1199,4.2024,4.0139,4.189,2046068.0
2020-10-18 00:00:00+00:00,4.1927,4.2464,4.1441,4.1952,1653392.0
2020-10-18 12:00:00+00:00,4.1959,4.2357,4.072,4.1186,1731484.0
2020-10-19 00:00:00+00:00,4.1197,4.1483,3.982,4.0388,1968531.0
2020-10-19 12:00:00+00:00,4.0392,4.1689,4.0151,4.0401,1706051.0
2020-10-20 00:00:00+00:00,4.0397,4.0787,3.86,3.8772,1887353.0
2020-10-20 12:00:00+00:00,3.8778,3.9489,3.6789,3.7938,2636883.0
2020-10-21 00:00:00+00:00,3.7909,4.0053,3.7724,3.8953,2112127.0
2020-10-21 12:00:00+00:00,3.8956,4.0958,3.8567,3.9601,2405152.0
2020-10-22 00:00:00+00:00,3.9612,4.4853,3.9608,4.393,2385831.0
2020-10-22 12:00:00+00:00,4.3931,4.4782,4.21,4.3346,2340939.0
2020-10-23 00:00:00+00:00,4.3336,4.4724,4.2934,4.339,2046502.0
2020-10-23 12:00:00+00:00,4.3399,4.3793,4.1338,4.2541,1955735.0
2020-10-24 00:00:00+00:00,4.2538,4.3581,4.1965,4.3291,1574220.0
2020-10-24 12:00:00+00:00,4.3289,4.36,4.1586,4.1815,1766206.0
2020-10-25 00:00:00+00:00,4.1802,4.2548,4.1021,4.1225,1816722.0
2020-10-25 12:00:00+00:00,4.1225,4.2411,4.1024,4.1429,1708018.0
2020-10-26 00:00:00+00:00,4.1422,4.4907,4.101,4.4083,2477317.0
2020-10-26 12:00:00+00:00,4.4072,4.4441,4.026,4.142,2859135.0
2020-10-27 00:00:00+00:00,4.1419,4.2437,4.0302,4.17,2064100.0
2020-10-27 12:00:00+00:00,4.1697,4.3497,4.0659,4.1245,2257020.0
2020-10-28 00:00:00+00:00,4.1229,4.182,3.9593,3.9823,1986068.0
2020-10-28 12:00:00+00:00,3.9822,4.0901,3.9213,4.0505,2239204.0
