Date,Open,High,Low,Close,Volume
2020-01-06 00:00:00+00:00,135.32,148.03,134.82,146.57,6594275.014
2020-01-13 00:00:00+00:00,146.57,179.57,142.32,167.04,7412937.363
2020-01-20 00:00:00+00:00,167.04,171.61,155.72,167.9,2638645.104
2020-01-27 00:00:00+00:00,167.98,193.7,165.28,188.59,4105265.33
2020-02-03 00:00:00+00:00,188.64,230.9,184.71,228.64,6537887.48
2020-02-10 00:00:00+00:00,228.71,289.0,217.32,258.87,12650635.958
2020-02-17 00:00:00+00:00,258.87,286.7,242.32,274.67,9989490.654
2020-02-24 00:00:00+00:00,274.66,277.26,210.01,218.01,13262383.775
2020-03-02 00:00:00+00:00,218.01,251.8,195.35,199.54,11413628.572
2020-03-09 00:00:00+00:00,199.54,323.0,84.23,123.89,25367395.637
2020-03-16 00:00:00+00:00,123.87,152.68,100.11,122.25,16144653.379
2020-03-23 00:00:00+00:00,122.27,143.44,119.0,124.4,9422526.509
2020-03-30 00:00:00+00:00,124.42,149.97,123.93,142.59,7987689.487
2020-04-06 00:00:00+00:00,142.59,176.16,142.51,158.72,13859124.23
2020-04-13 00:00:00+00:00,158.69,189.68,148.07,179.97,13384326.037
2020-04-20 00:00:00+00:00,179.96,199.99,166.6,197.46,17724672.179
2020-04-27 00:00:00+00:00,197.46,227.5,189.51,209.95,17209816.661
2020-05-04 00:00:00+00:00,209.94,216.95,177.89,187.52,14667034.508
2020-05-11 00:00:00+00:00,187.48,210.16,175.5,206.93,10384538.164
2020-05-18 00:00:00+00:00,206.9,217.2,191.61,199.7,9915814.374
2020-05-25 00:00:00+00:00,199.7,247.85,196.68,231.55,10271947.961
2020-06-01 00:00:00+00:00,231.55,254.48,220.0,244.66,10472984.484
2020-06-08 00:00:00+00:00,244.67,251.0,225.33,231.92,7324232.225
2020-06-15 00:00:00+00:00,231.92,237.5,218.02,228.08,6816272.104
2020-06-22 00:00:00+00:00,228.07,249.41,213.59,224.96,8764883.311
2020-06-29 00:00:00+00:00,224.93,232.78,221.11,227.61,6026274.928
2020-07-06 00:00:00+00:00,227.61,249.0,226.89,242.82,7392496.831
