Date,Open,High,Low,Close,Volume
2020-01-17 00:00:00+00:00,2.669,2.896,2.669,2.764,2754845.91
2020-01-17 12:00:00+00:00,2.764,2.781,2.592,2.696,5419412.48
2020-01-18 00:00:00+00:00,2.696,2.799,2.56,2.719,4362730.07
2020-01-18 12:00:00+00:00,2.715,2.792,2.654,2.774,3558252.34
2020-01-19 00:00:00+00:00,2.777,2.854,2.556,2.68,4639927.38
2020-01-19 12:00:00+00:00,2.68,2.686,2.519,2.623,4775035.02
2020-01-20 00:00:00+00:00,2.623,2.648,2.556,2.601,3183280.33
2020-01-20 12:00:00+00:00,2.598,2.745,2.544,2.695,4061441.19
2020-01-21 00:00:00+00:00,2.694,2.745,2.679,2.709,2211914.65
2020-01-21 12:00:00+00:00,2.709,2.719,2.561,2.673,3645587.37
2020-01-22 00:00:00+00:00,2.675,2.694,2.653,2.673,1940803.05
2020-01-22 12:00:00+00:00,2.673,2.68,2.626,2.654,1367973.3
2020-01-23 00:00:00+00:00,2.656,2.659,2.43,2.471,3034731.56
2020-01-23 12:00:00+00:00,2.471,2.522,2.433,2.471,2224375.08
2020-01-24 00:00:00+00:00,2.47,2.527,2.35,2.51,2127235.35
2020-01-24 12:00:00+00:00,2.512,2.542,2.465,2.504,1659174.36
2020-01-25 00:00:00+00:00,2.506,2.515,2.436,2.446,1170066.22
2020-01-25 12:00:00+00:00,2.448,2.493,2.438,2.448,854145.18
2020-01-26 00:00:00+00:00,2.449,2.498,2.429,2.498,680339.24
2020-01-26 12:00:00+00:00,2.499,2.582,2.487,2.575,1118116.23
2020-01-27 00:00:00+00:00,2.579,2.63,2.561,2.608,1622904.69
2020-01-27 12:00:00+00:00,2.613,2.683,2.564,2.608,2196296.2
2020-01-28 00:00:00+00:00,2.61,2.67,2.588,2.641,1366220.54
2020-01-28 12:00:00+00:00,2.641,2.678,2.591,2.656,1864736.89
2020-01-29 00:00:00+00:00,2.659,2.812,2.644,2.718,2723193.44
2020-01-29 12:00:00+00:00,2.721,2.839,2.661,2.781,2310804.27
2020-01-30 00:00:00+00:00,2.781,2.871,2.706,2.842,2382183.77
2020-01-30 12:00:00+00:00,2.84,2.95,2.833,2.914,4409461.85
2020-01-31 00:00:00+00:00,2.917,2.929,2.853,2.877,2056831.37
2020-01-31 12:00:00+00:00,2.875,2.877,2.762,2.825,1875172.23
2020-02-01 00:00:00+00:00,2.83,2.888,2.757,2.78,1359752.54
2020-02-01 12:00:00+00:00,2.778,2.843,2.737,2.841,1551982.57
2020-02-02 00:00:00+00:00,2.84,2.89,2.737,2.878,1395729.24
2020-02-02 12:00:00+00:00,2.879,2.894,2.805,2.832,2406841.73
2020-02-03 00:00:00+00:00,2.832,2.884,2.779,2.803,1627418.68
2020-02-03 12:00:00+00:00,2.804,2.815,2.747,2.782,1953852.84
2020-02-04 00:00:00+00:00,2.78,2.806,2.676,2.715,2999268.07
2020-02-04 12:00:00+00:00,2.714,2.767,2.691,2.741,1987306.56
2020-02-05 00:00:00+00:00,2.743,2.864,2.732,2.853,2969860.81
2020-02-05 12:00:00+00:00,2.854,2.891,2.811,2.843,3702248.72
2020-02-06 00:00:00+00:00,2.843,2.969,2.794,2.943,3178383.08
2020-02-06 12:00:00+00:00,2.943,2.97,2.811,2.902,3632486.74
2020-02-07 00:00:00+00:00,2.902,3.328,2.9,3.204,12489940.54
2020-02-07 12:00:00+00:00,3.202,3.365,3.14,3.311,9008689.11
2020-02-08 00:00:00+00:00,3.31,3.394,3.11,3.333,8476716.44
2020-02-08 12:00:00+00:00,3.33,3.48,3.25,3.42,5483485.29
2020-02-09 00:00:00+00:00,3.419,3.448,3.321,3.355,4823743.32
2020-02-09 12:00:00+00:00,3.353,3.525,3.232,3.504,5794876.43
2020-02-10 00:00:00+00:00,3.503,3.511,3.272,3.326,8882854.57
2020-02-10 12:00:00+00:00,3.326,3.447,3.319,3.388,3912053.75
2020-02-11 00:00:00+00:00,3.389,3.651,3.353,3.63,7458369.02
2020-02-11 12:00:00+00:00,3.626,3.999,3.618,3.989,12783993.23
2020-02-12 00:00:00+00:00,3.992,4.195,3.861,4.101,11810908.65
2020-02-12 12:00:00+00:00,4.1,4.2,3.923,3.988,9652631.37
2020-02-13 00:00:00+00:00,3.996,4.141,3.669,3.914,8543877.32
2020-02-13 12:00:00+00:00,3.915,4.133,3.786,3.878,6841114.16
2020-02-14 00:00:00+00:00,3.877,4.076,3.797,4.015,5948864.32
2020-02-14 12:00:00+00:00,4.017,4.494,4.012,4.43,10459982.31
2020-02-15 00:00:00+00:00,4.434,4.54,4.286,4.454,6311461.23
2020-02-15 12:00:00+00:00,4.454,4.632,4.05,4.328,18886775.52
2020-02-16 00:00:00+00:00,4.327,4.884,4.138,4.694,13501368.1
2020-02-16 12:00:00+00:00,4.69,4.746,4.0,4.454,22733138.85
2020-02-17 00:00:00+00:00,4.45,4.567,3.881,3.987,15070411.33
2020-02-17 12:00:00+00:00,3.986,4.459,3.854,4.302,14529389.72
2020-02-18 00:00:00+00:00,4.308,4.573,4.139,4.457,10725213.23
2020-02-18 12:00:00+00:00,4.45,4.656,4.224,4.564,11476057.45
2020-02-19 00:00:00+00:00,4.56,4.79,4.471,4.769,10954498.97
2020-02-19 12:00:00+00:00,4.77,4.869,4.172,4.386,11986084.84
2020-02-20 00:00:00+00:00,4.386,4.481,4.152,4.156,7130434.82
2020-02-20 12:00:00+00:00,4.16,4.389,4.066,4.267,10859771.63
2020-02-21 00:00:00+00:00,4.268,4.459,4.18,4.426,6724702.39
2020-02-21 12:00:00+00:00,4.427,4.51,4.186,4.275,7714340.24
2020-02-22 00:00:00+00:00,4.276,4.348,4.107,4.184,6109441.19
2020-02-22 12:00:00+00:00,4.182,4.297,4.052,4.105,7282460.57
2020-02-23 00:00:00+00:00,4.105,4.378,4.072,4.253,7437013.83
2020-02-23 12:00:00+00:00,4.252,4.308,4.16,4.236,5106459.3
2020-02-24 00:00:00+00:00,4.239,4.295,4.034,4.154,6538551.72
2020-02-24 12:00:00+00:00,4.156,4.16,3.801,3.923,11114651.26
2020-02-25 00:00:00+00:00,3.923,3.964,3.632,3.769,9238953.21
2020-02-25 12:00:00+00:00,3.765,3.85,3.478,3.491,12536986.8
2020-02-26 00:00:00+00:00,3.49,3.561,3.312,3.441,10660496.6
2020-02-26 12:00:00+00:00,3.443,3.85,3.365,3.564,23102355.47
2020-02-27 00:00:00+00:00,3.564,3.804,3.41,3.748,12253000.94
2020-02-27 12:00:00+00:00,3.748,4.116,3.72,3.956,16576555.69
2020-02-28 00:00:00+00:00,3.956,4.105,3.736,3.92,13691995.57
2020-02-28 12:00:00+00:00,3.924,4.246,3.787,4.161,15712889.07
2020-02-29 00:00:00+00:00,4.161,4.347,4.113,4.277,13344247.5
2020-02-29 12:00:00+00:00,4.276,4.31,4.052,4.062,11519856.37
2020-03-01 00:00:00+00:00,4.056,4.24,3.987,4.139,10835903.94
2020-03-01 12:00:00+00:00,4.138,4.199,3.756,3.858,16721217.29
2020-03-02 00:00:00+00:00,3.862,4.194,3.816,4.128,12229513.45
2020-03-02 12:00:00+00:00,4.128,4.327,4.076,4.242,12991750.38
2020-03-03 00:00:00+00:00,4.242,4.35,4.131,4.341,9532032.36
2020-03-03 12:00:00+00:00,4.344,4.68,4.281,4.591,22111124.48
2020-03-04 00:00:00+00:00,4.591,4.846,4.535,4.739,15279950.71
2020-03-04 12:00:00+00:00,4.74,4.953,4.562,4.635,26534236.2
2020-03-05 00:00:00+00:00,4.634,4.9,4.617,4.813,13879043.51
2020-03-05 12:00:00+00:00,4.814,4.855,4.629,4.707,13316030.68
2020-03-06 00:00:00+00:00,4.71,4.748,4.538,4.722,12600585.93
2020-03-06 12:00:00+00:00,4.72,4.72,4.553,4.683,10159850.94
2020-03-07 00:00:00+00:00,4.683,4.688,4.595,4.617,5652750.19
2020-03-07 12:00:00+00:00,4.618,4.652,4.31,4.342,18229896.96
2020-03-08 00:00:00+00:00,4.342,4.342,4.141,4.25,14184076.65
2020-03-08 12:00:00+00:00,4.251,4.398,3.834,4.059,34529683.08
2020-03-09 00:00:00+00:00,4.059,4.371,4.03,4.106,23401009.89
2020-03-09 12:00:00+00:00,4.106,4.2,3.6,4.12,38798095.76
2020-03-10 00:00:00+00:00,4.12,4.185,3.926,4.138,16678650.42
2020-03-10 12:00:00+00:00,4.136,4.2,3.913,4.08,19804610.09
2020-03-11 00:00:00+00:00,4.079,4.109,3.872,3.929,10153426.86
2020-03-11 12:00:00+00:00,3.931,3.936,3.55,3.815,25908272.77
