,id,datetime_end,label,filename
0,1,2020-02-02 16:00:00+00:00,1,BTCUSDT_1h_00000001_1
0,2,2020-02-02 17:00:00+00:00,1,BTCUSDT_1h_00000002_1
0,3,2020-02-02 18:00:00+00:00,1,BTCUSDT_1h_00000003_1
0,4,2020-02-02 19:00:00+00:00,1,BTCUSDT_1h_00000004_1
0,5,2020-02-02 20:00:00+00:00,1,BTCUSDT_1h_00000005_1
0,6,2020-02-02 21:00:00+00:00,1,BTCUSDT_1h_00000006_1
0,7,2020-02-02 22:00:00+00:00,0,BTCUSDT_1h_00000007_0
0,8,2020-02-02 23:00:00+00:00,0,BTCUSDT_1h_00000008_0
0,9,2020-02-03 00:00:00+00:00,0,BTCUSDT_1h_00000009_0
0,10,2020-02-03 01:00:00+00:00,1,BTCUSDT_1h_00000010_1
0,11,2020-02-03 02:00:00+00:00,0,BTCUSDT_1h_00000011_0
0,12,2020-02-03 03:00:00+00:00,0,BTCUSDT_1h_00000012_0
0,13,2020-02-03 04:00:00+00:00,0,BTCUSDT_1h_00000013_0
0,14,2020-02-03 05:00:00+00:00,0,BTCUSDT_1h_00000014_0
0,15,2020-02-03 06:00:00+00:00,0,BTCUSDT_1h_00000015_0
0,16,2020-02-03 07:00:00+00:00,0,BTCUSDT_1h_00000016_0
0,17,2020-02-03 08:00:00+00:00,0,BTCUSDT_1h_00000017_0
0,18,2020-02-03 09:00:00+00:00,1,BTCUSDT_1h_00000018_1
0,19,2020-02-03 10:00:00+00:00,0,BTCUSDT_1h_00000019_0
0,20,2020-02-03 11:00:00+00:00,0,BTCUSDT_1h_00000020_0
0,21,2020-02-03 12:00:00+00:00,0,BTCUSDT_1h_00000021_0
0,22,2020-02-03 13:00:00+00:00,0,BTCUSDT_1h_00000022_0
0,23,2020-02-03 14:00:00+00:00,0,BTCUSDT_1h_00000023_0
0,24,2020-02-03 15:00:00+00:00,0,BTCUSDT_1h_00000024_0
0,25,2020-02-03 16:00:00+00:00,0,BTCUSDT_1h_00000025_0
0,26,2020-02-03 17:00:00+00:00,0,BTCUSDT_1h_00000026_0
0,27,2020-02-03 18:00:00+00:00,0,BTCUSDT_1h_00000027_0
0,28,2020-02-03 19:00:00+00:00,0,BTCUSDT_1h_00000028_0
0,29,2020-02-03 20:00:00+00:00,1,BTCUSDT_1h_00000029_1
0,30,2020-02-03 21:00:00+00:00,0,BTCUSDT_1h_00000030_0
0,31,2020-02-03 22:00:00+00:00,0,BTCUSDT_1h_00000031_0
0,32,2020-02-03 23:00:00+00:00,0,BTCUSDT_1h_00000032_0
0,33,2020-02-04 00:00:00+00:00,0,BTCUSDT_1h_00000033_0
0,34,2020-02-04 01:00:00+00:00,1,BTCUSDT_1h_00000034_1
0,35,2020-02-04 02:00:00+00:00,1,BTCUSDT_1h_00000035_1
0,36,2020-02-04 03:00:00+00:00,0,BTCUSDT_1h_00000036_0
0,37,2020-02-04 04:00:00+00:00,0,BTCUSDT_1h_00000037_0
0,38,2020-02-04 05:00:00+00:00,0,BTCUSDT_1h_00000038_0
0,39,2020-02-04 06:00:00+00:00,0,BTCUSDT_1h_00000039_0
0,40,2020-02-04 07:00:00+00:00,0,BTCUSDT_1h_00000040_0
0,41,2020-02-04 08:00:00+00:00,0,BTCUSDT_1h_00000041_0
0,42,2020-02-04 09:00:00+00:00,0,BTCUSDT_1h_00000042_0
0,43,2020-02-04 10:00:00+00:00,0,BTCUSDT_1h_00000043_0
0,44,2020-02-04 11:00:00+00:00,0,BTCUSDT_1h_00000044_0
